state,violentcr,chraff,nonchraff,census_region,median_house_price,median_income,large_city,governor,percentwhite,abovebach,unemployment
Alabama,510.8,61.22,0.57,South,284900,62212,No,R,65.4,27.8,4.8
Alaska,867.1,27.22,0.11,West,379600,86631,No,R,60.7,31.2,5.8
Arizona,455.3,33.9,1.77,West,436100,77315,Yes,R,63.2,32.6,5.2
Arkansas,584.6,55.29,0.26,South,258100,58700,No,R,70.9,25.1,5.1
California,441.2,37.85,1.74,West,785900,95521,Yes,D,44,36.5,6.4
Colorado,381,30.29,0.45,West,580900,92911,Yes,D,73.5,44.7,4.5
Connecticut,183.6,42.68,2.28,Northeast,393700,91665,No,D,67.6,41.9,5.6
Delaware,422.6,37.05,1.01,South,327300,81361,No,D,61.8,35.3,5.1
Florida,378.4,42.93,1.1,South,407200,73311,No,R,59.9,33.2,4.8
Georgia,340.7,46.44,1.48,South,375300,74632,No,R,52.5,34.2,5.1
Hawaii,285.5,30.37,0.06,West,720200,95322,No,D,22.5,35.5,5
Idaho,223.8,26.22,0.2,West,460900,74942,No,R,83.3,31.2,3.7
Illinois,406.9,44.15,4.25,Midwest,280900,80306,Yes,D,63.3,37.2,5.8
Indiana,370.8,39.55,0.78,Midwest,258000,69477,Yes,R,78.5,28.8,4.3
Iowa,266.6,42.26,0.83,Midwest,230600,58229,No,R,85.6,30.9,3.6
Kansas,410.8,43.14,0.35,Midwest,276300,71433,No,D,77.9,35.2,3.9
Kentucky,217.1,47.22,0.5,South,251300,70333,No,R,83.7,27,4.8
Louisiana,549.3,60.88,0.69,South,257400,61118,No,D,58,26.6,6.3
Maine,115.2,27.17,1.48,Northeast,373700,73733,No,D,91.3,35.3,3.9
Maryland,454.1,35.96,4.31,South,421800,98678,Yes,R,49.6,42.7,4.9
Massachusetts,327.6,42.76,2.88,Northeast,614700,99858,Yes,R,70.7,46.6,5.1
Michigan,437.4,34.87,2.8,Midwest,252200,69183,Yes,D,74.8,31.8,5.8
Minnesota,236.4,45.23,2.42,Midwest,341700,85086,No,D,78.4,38.8,3.9
Mississippi,277.9,57.7,0.13,South,271200,54203,No,R,56.3,24.2,6
Missouri,495,44.87,1.18,Midwest,255400,68545,No,R,78.3,31.9,4.1
Montana,404.9,28.77,0.05,West,462631,70804,No,D,85.7,34.5,3.8
Nebraska,300.9,46.25,0.32,Midwest,290500,74590,No,R,79.9,34.1,3
Nevada,493.8,32.92,0.46,West,428100,76364,Yes,D,53.2,27.4,6.8
New Hampshire,152.5,24.98,0.34,Northeast,452700,96838,No,R,88.9,39.8,3.4
New Jersey,206.9,43.01,5.58,Northeast,477600,99781,No,D,56.9,42.9,6.2
New Mexico,832.2,45.58,0.74,West,349200,62268,No,D,53.6,30.2,6
New York,358.6,40.93,7.37,Northeast,819900,82095,Yes,D,57.1,39.6,6.2
North Carolina,371.8,48.26,1.41,South,371100,70804,Yes,D,63.3,34.7,4.8
North Dakota,284.6,52.98,0.08,Midwest,265189,76525,No,R,83.9,32.3,2.8
Ohio,293.2,44.3,1.5,Midwest,240900,67769,Yes,R,77.8,30.9,4.8
Oklahoma,431.8,58.24,0.48,South,253200,62138,Yes,R,66.8,27.8,4.9
Oregon,284.4,26.59,0.36,West,510900,80160,Yes,D,76.6,36.2,5.4
Pennsylvania,306.4,42.92,1.81,Northeast,278700,73824,Yes,D,75.8,34.5,5.2
Rhode Island,221.1,48.43,0.92,Northeast,462100,84972,No,D,72.3,37.3,5.7
South Carolina,511.3,49.94,0.25,South,374200,67804,No,R,64.1,31.5,5
South Dakota,399,53.26,0.07,Midwest,328700,71810,No,R,81.5,31.1,3
Tennessee,595.2,52.62,0.79,South,377200,67631,Yes,R,73.5,30.4,4.7
Texas,418.9,50.57,1.27,South,357800,75780,Yes,R,53.9,33.1,5.1
Utah,235.6,9.14,0.86,West,529600,93421,No,R,80.7,36.9,3.4
Vermont,202.2,33.73,1.35,Northeast,385300,81211,No,R,91.4,42.6,3.7
Virginia,208,40.71,2.28,South,440200,89931,No,D,61.7,41.5,4.3
Washington,293.9,34.21,0.6,West,618000,94605,Yes,D,67.8,38.8,5
West Virginia,316.6,35.98,0.16,South,304400,55948,No,R,90.9,23.3,5.7
Wisconsin,293.2,44.97,1.36,Midwest,297100,74631,No,D,81.3,32.8,3.3
Wyoming,217.4,27.63,0.04,West,276000,72415,No,R,86,29.9,3.7
